id,total,w,b,o
250250001001,1192,676,158,358
250250001002,875,541,8,326
250250001003,530,362,6,162
250250001004,667,331,0,336
250250002011,734,530,47,157
250250002012,381,301,11,69
250250002013,1348,1026,39,283
250250002014,610,412,40,158
250250002021,898,774,7,117
250250002022,855,618,48,189
250250002023,984,510,90,384
250250002024,745,28,221,496
250250003011,586,461,0,125
250250003012,822,738,24,60
250250003013,532,485,0,47
250250003014,497,239,30,228
250250003021,1053,748,61,244
250250003022,1620,1198,53,369
250250004011,1504,1001,0,503
250250004012,755,366,103,286
250250004013,1043,696,18,329
250250004014,1772,1162,14,596
250250004021,1010,758,43,209
250250004022,1003,567,0,436
250250004023,1068,816,22,230
250250005021,657,529,0,128
250250005022,764,565,22,177
250250005023,1319,1018,1,300
250250005024,2845,2012,115,718
250250005031,579,431,0,148
250250005032,1324,1076,31,217
250250005041,1131,888,9,234
250250005042,1314,802,108,404
250250005043,913,732,22,159
250250005044,865,694,31,140
250250006011,717,525,5,187
250250006012,1193,742,0,451
250250006013,467,424,0,43
250250006014,802,496,31,275
250250006021,1455,863,153,439
250250006022,940,658,59,223
250250006023,1053,383,167,503
250250007011,806,485,96,225
250250007012,343,146,137,60
250250007013,543,296,0,247
250250007014,523,402,13,108
250250007015,1246,606,36,604
250250007031,1008,582,133,293
250250007032,1239,776,107,356
250250007041,1639,1083,17,539
250250007042,701,466,47,188
250250007043,1132,872,29,231
250250007044,833,283,260,290
250250008021,1139,812,39,288
250250008022,1824,987,188,649
250250008023,1016,417,90,509
250250008024,1705,867,104,734
250250008025,1548,879,97,572
250250008031,2515,1387,208,920
250250008032,3593,2426,200,967
250250101031,1723,1058,15,650
250250101032,828,466,57,305
250250101033,1153,718,79,356
250250101041,1411,1088,63,260
250250101042,2311,1442,77,792
250250101043,964,554,27,383
250250102031,1031,789,34,208
250250102032,1865,1111,13,741
250250102033,1593,1089,118,386
250250102034,262,165,52,45
250250102041,1074,666,37,371
250250102042,1245,798,13,434
250250102043,946,555,6,385
250250103001,1486,1010,95,381
250250103002,3716,2650,233,833
250250104031,1352,746,38,568
250250104032,778,430,78,270
250250104033,797,529,0,268
250250104041,2143,1509,180,454
250250104042,2727,1687,130,910
250250104043,875,648,11,216
250250104051,3032,2090,203,739
250250104052,2206,1405,186,615
250250104053,576,265,54,257
250250104081,1507,1062,55,390
250250105001,1079,737,47,295
250250105002,1286,757,59,470
250250105003,947,569,237,141
250250106001,1699,1449,39,211
250250106002,1124,801,142,181
250250107011,1129,815,28,286
250250107012,1144,1000,2,142
250250107013,681,506,8,167
250250107021,890,815,35,40
250250107022,715,632,9,74
250250107023,828,708,11,109
250250108011,745,598,8,139
250250108012,1145,1009,2,134
250250108013,1369,1181,0,188
250250108021,1117,877,8,232
250250108022,1316,1157,23,136
250250108023,545,483,0,62
250250201011,693,597,17,79
250250201012,907,836,0,71
250250201013,1319,1205,22,92
250250201014,1202,1115,30,57
250250202001,1500,1144,71,285
250250202002,1140,912,25,203
250250202003,1268,1032,0,236
250250203011,382,260,1,121
250250203012,2227,1517,29,681
250250203021,1068,997,15,56
250250203031,1112,609,12,491
250250203032,1076,641,252,183
250250203033,1299,637,39,623
250250301001,1221,1133,0,88
250250301002,965,927,0,38
250250302001,1754,1473,25,256
250250303001,2116,1772,48,296
250250303002,1251,947,63,241
250250303003,1482,1072,220,190
250250303004,602,424,0,178
250250304001,1575,1420,2,153
250250304002,1013,951,13,49
250250305001,785,664,0,121
250250305002,1144,1044,9,91
250250305003,772,746,0,26
250250401001,785,655,0,130
250250401002,1523,1448,0,75
250250402001,1216,107,321,788
250250402002,697,619,5,73
250250403001,729,139,318,272
250250403002,1502,1491,0,11
250250403003,646,619,0,27
250250403004,801,762,0,39
250250403005,503,492,0,11
250250404011,1725,1229,101,395
250250404012,787,771,0,16
250250406001,943,704,84,155
250250406002,1927,1833,11,83
250250408011,1044,106,708,230
250250408012,1113,146,206,761
250250408013,2013,1613,21,379
250250501011,2112,360,92,1660
250250501012,1934,476,58,1400
250250501013,1540,557,92,891
250250502001,2537,705,122,1710
250250502002,935,350,46,539
250250502003,499,89,0,410
250250502004,1501,49,44,1408
250250503001,580,144,54,382
250250503002,1779,603,340,836
250250504001,687,242,18,427
250250504002,1818,654,54,1110
250250505001,2201,827,23,1351
250250506001,1530,334,0,1196
250250506002,854,106,45,703
250250507001,2461,472,116,1873
250250507002,1167,317,2,848
250250507003,1311,258,0,1053
250250509011,1674,251,24,1399
250250509012,2588,491,26,2071
250250509013,701,329,46,326
250250510001,2207,1274,0,933
250250510002,976,459,96,421
250250510003,1472,694,0,778
250250511011,1570,645,0,925
250250511012,1914,476,240,1198
250250511013,1725,940,91,694
250250511014,1177,795,10,372
250250512001,113,113,0,0
250250512002,1564,681,88,795
250250512003,905,502,61,342
250250601011,990,990,0,0
250250601012,722,701,0,21
250250601013,1171,1171,0,0
250250601014,813,639,42,132
250250602001,949,920,1,28
250250602002,1305,1219,0,86
250250603011,1509,1501,0,8
250250603012,702,666,0,36
250250603013,962,935,2,25
250250604001,938,892,0,46
250250604002,1357,1317,0,40
250250604003,985,947,0,38
250250604004,930,817,63,50
250250604005,963,896,34,33
250250605011,697,689,0,8
250250605012,893,830,15,48
250250605013,780,712,10,58
250250605014,680,660,0,20
250250605015,756,601,0,155
250250606001,2538,2184,6,348
250250607001,587,99,311,177
250250607002,1694,411,377,906
250250608001,629,571,0,58
250250608002,1037,923,0,114
250250608003,1511,1270,0,241
250250608004,1355,1282,3,70
250250610001,1035,900,88,47
250250610002,1406,240,278,888
250250610003,794,195,85,514
250250611011,545,99,144,302
250250611012,1724,159,361,1204
250250612001,2119,1807,75,237
250250612002,537,485,17,35
250250612003,801,726,46,29
250250701011,1092,860,0,232
250250701012,204,71,10,123
250250701013,618,280,0,338
250250701014,1925,1444,72,409
250250701015,275,170,27,78
250250701016,265,165,0,100
250250701017,827,383,58,386
250250701018,293,198,13,82
250250702001,1148,198,77,873
250250702002,1528,70,23,1435
250250702003,2784,1642,8,1134
250250703001,823,706,0,117
250250703002,900,596,34,270
250250703003,1419,968,0,451
250250703004,1362,1093,66,203
250250704021,1656,153,150,1353
250250705001,2138,1677,37,424
250250705002,981,301,31,649
250250705003,1398,1064,43,291
250250705004,1435,750,225,460
250250706001,1163,928,27,208
250250706002,1214,1002,29,183
250250707001,1611,558,738,315
250250707002,1376,938,263,175
250250708001,1534,836,420,278
250250708002,1173,862,60,251
250250708003,985,777,96,112
250250709001,2092,1267,270,555
250250709002,1113,280,417,416
250250711011,1719,813,223,683
250250711012,1362,849,222,291
250250711013,943,107,224,612
250250712011,1868,901,322,645
250250712012,1477,197,536,744
250250801001,2176,479,967,730
250250801002,688,92,530,66
250250803001,2049,95,1223,731
250250804011,1355,115,769,471
250250804012,1484,79,876,529
250250805001,890,111,365,414
