GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
1500000US250250001001,250250001001,"Block Group 1, Census Tract 1, Suffolk County, Massachusetts",1192,354,887,324,158,146,0,12,129,89,0,12,0,12,18,21,11,14,7,18
1500000US250250001002,250250001002,"Block Group 2, Census Tract 1, Suffolk County, Massachusetts",875,222,609,163,8,12,0,12,157,141,0,12,101,106,0,12,0,12,0,12
1500000US250250001003,250250001003,"Block Group 3, Census Tract 1, Suffolk County, Massachusetts",530,159,451,147,6,7,0,12,66,73,0,12,0,12,7,14,0,12,7,14
1500000US250250001004,250250001004,"Block Group 4, Census Tract 1, Suffolk County, Massachusetts",667,194,488,186,0,12,0,12,74,86,0,12,90,115,15,24,0,12,15,24
1500000US250250002011,250250002011,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",734,196,559,195,47,53,0,12,69,77,0,12,41,66,18,29,0,12,18,29
1500000US250250002012,250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",381,139,310,119,11,17,0,12,54,56,0,12,0,12,6,10,0,12,6,10
1500000US250250002013,250250002013,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",1348,276,1141,273,39,53,0,12,69,49,0,12,42,53,57,65,25,38,32,51
1500000US250250002014,250250002014,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",610,147,511,136,40,39,0,12,25,23,0,12,15,23,19,22,9,13,10,17
1500000US250250002021,250250002021,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",898,227,774,226,7,11,0,12,95,86,0,12,22,39,0,12,0,12,0,12
1500000US250250002022,250250002022,"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts",855,248,652,225,48,57,0,12,155,104,0,12,0,12,0,12,0,12,0,12
1500000US250250002023,250250002023,"Block Group 3, Census Tract 2.02, Suffolk County, Massachusetts",984,260,580,210,90,98,0,12,305,172,0,12,0,12,9,38,9,38,0,12
1500000US250250002024,250250002024,"Block Group 4, Census Tract 2.02, Suffolk County, Massachusetts",745,343,116,138,221,137,0,12,143,108,0,12,265,302,0,12,0,12,0,12
1500000US250250003011,250250003011,"Block Group 1, Census Tract 3.01, Suffolk County, Massachusetts",586,184,461,179,0,12,0,12,100,93,0,12,25,44,0,12,0,12,0,12
1500000US250250003012,250250003012,"Block Group 2, Census Tract 3.01, Suffolk County, Massachusetts",822,279,743,272,24,34,0,12,55,60,0,12,0,12,0,12,0,12,0,12
1500000US250250003013,250250003013,"Block Group 3, Census Tract 3.01, Suffolk County, Massachusetts",532,214,508,217,0,12,0,12,24,29,0,12,0,12,0,12,0,12,0,12
1500000US250250003014,250250003014,"Block Group 4, Census Tract 3.01, Suffolk County, Massachusetts",497,122,291,95,30,28,0,12,100,79,0,12,76,85,0,12,0,12,0,12
1500000US250250003021,250250003021,"Block Group 1, Census Tract 3.02, Suffolk County, Massachusetts",1053,249,786,223,61,85,0,12,131,84,0,12,55,83,20,22,0,12,20,22
1500000US250250003022,250250003022,"Block Group 2, Census Tract 3.02, Suffolk County, Massachusetts",1620,320,1198,300,53,50,0,12,321,145,0,12,23,26,25,30,0,12,25,30
1500000US250250004011,250250004011,"Block Group 1, Census Tract 4.01, Suffolk County, Massachusetts",1504,343,1140,279,0,12,0,12,352,184,0,12,0,12,12,19,0,12,12,19
1500000US250250004012,250250004012,"Block Group 2, Census Tract 4.01, Suffolk County, Massachusetts",755,236,407,174,103,164,0,12,192,102,0,12,15,23,38,43,12,19,26,29
1500000US250250004013,250250004013,"Block Group 3, Census Tract 4.01, Suffolk County, Massachusetts",1043,253,887,249,18,29,0,12,85,99,0,12,0,12,53,83,0,12,53,83
1500000US250250004014,250250004014,"Block Group 4, Census Tract 4.01, Suffolk County, Massachusetts",1772,332,1256,302,14,22,0,12,493,218,0,12,0,12,9,14,9,14,0,12
1500000US250250004021,250250004021,"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",1010,232,773,201,43,45,0,12,167,90,0,12,0,12,27,43,0,12,27,43
1500000US250250004022,250250004022,"Block Group 2, Census Tract 4.02, Suffolk County, Massachusetts",1003,330,595,185,0,12,0,12,216,155,0,12,8,12,184,259,9,19,175,258
1500000US250250004023,250250004023,"Block Group 3, Census Tract 4.02, Suffolk County, Massachusetts",1068,343,816,220,22,24,0,12,148,114,0,12,0,12,82,111,0,12,82,111
1500000US250250005021,250250005021,"Block Group 1, Census Tract 5.02, Suffolk County, Massachusetts",657,177,529,147,0,12,0,12,128,82,0,12,0,12,0,12,0,12,0,12
1500000US250250005022,250250005022,"Block Group 2, Census Tract 5.02, Suffolk County, Massachusetts",764,178,689,173,22,28,0,12,44,37,0,12,9,13,0,12,0,12,0,12
1500000US250250005023,250250005023,"Block Group 3, Census Tract 5.02, Suffolk County, Massachusetts",1319,214,1042,192,1,4,0,12,232,166,0,12,22,22,22,18,0,12,22,18
1500000US250250005024,250250005024,"Block Group 4, Census Tract 5.02, Suffolk County, Massachusetts",2845,389,2256,314,115,70,0,12,343,147,0,12,43,51,88,55,19,26,69,52
1500000US250250005031,250250005031,"Block Group 1, Census Tract 5.03, Suffolk County, Massachusetts",579,162,453,166,0,12,0,12,62,75,0,12,0,12,64,54,0,12,64,54
1500000US250250005032,250250005032,"Block Group 2, Census Tract 5.03, Suffolk County, Massachusetts",1324,180,1115,188,31,29,0,12,127,67,0,12,26,40,25,25,8,13,17,16
1500000US250250005041,250250005041,"Block Group 1, Census Tract 5.04, Suffolk County, Massachusetts",1131,264,1040,254,9,12,0,12,82,92,0,12,0,12,0,12,0,12,0,12
1500000US250250005042,250250005042,"Block Group 2, Census Tract 5.04, Suffolk County, Massachusetts",1314,241,877,174,108,144,0,12,281,140,0,12,10,17,38,44,0,12,38,44
1500000US250250005043,250250005043,"Block Group 3, Census Tract 5.04, Suffolk County, Massachusetts",913,211,776,186,22,35,0,12,48,50,0,12,0,12,67,59,17,26,50,56
1500000US250250005044,250250005044,"Block Group 4, Census Tract 5.04, Suffolk County, Massachusetts",865,252,709,227,31,36,12,20,73,79,0,12,0,12,40,38,0,12,40,38
1500000US250250006011,250250006011,"Block Group 1, Census Tract 6.01, Suffolk County, Massachusetts",717,272,550,250,5,11,0,12,131,106,0,12,5,11,26,29,0,12,26,29
1500000US250250006012,250250006012,"Block Group 2, Census Tract 6.01, Suffolk County, Massachusetts",1193,269,798,180,0,12,0,12,351,204,0,12,44,58,0,12,0,12,0,12
1500000US250250006013,250250006013,"Block Group 3, Census Tract 6.01, Suffolk County, Massachusetts",467,145,424,136,0,12,14,23,29,28,0,12,0,12,0,12,0,12,0,12
1500000US250250006014,250250006014,"Block Group 4, Census Tract 6.01, Suffolk County, Massachusetts",802,196,565,165,31,23,0,12,146,104,0,12,37,39,23,30,0,12,23,30
1500000US250250006021,250250006021,"Block Group 1, Census Tract 6.02, Suffolk County, Massachusetts",1455,308,950,309,153,138,0,12,219,95,0,12,10,16,123,104,0,12,123,104
1500000US250250006022,250250006022,"Block Group 2, Census Tract 6.02, Suffolk County, Massachusetts",940,147,695,153,59,39,0,12,155,86,0,12,0,12,31,37,0,12,31,37
1500000US250250006023,250250006023,"Block Group 3, Census Tract 6.02, Suffolk County, Massachusetts",1053,205,681,206,167,89,0,12,142,99,0,12,38,40,25,33,0,12,25,33
1500000US250250007011,250250007011,"Block Group 1, Census Tract 7.01, Suffolk County, Massachusetts",806,317,502,288,96,136,0,12,164,128,0,12,0,12,44,49,0,12,44,49
1500000US250250007012,250250007012,"Block Group 2, Census Tract 7.01, Suffolk County, Massachusetts",343,124,179,91,137,113,0,12,25,29,0,12,1,3,1,3,0,12,1,3
1500000US250250007013,250250007013,"Block Group 3, Census Tract 7.01, Suffolk County, Massachusetts",543,139,362,136,0,12,54,63,107,113,0,12,8,16,12,19,0,12,12,19
1500000US250250007014,250250007014,"Block Group 4, Census Tract 7.01, Suffolk County, Massachusetts",523,193,402,159,13,22,0,12,89,113,19,30,0,12,0,12,0,12,0,12
1500000US250250007015,250250007015,"Block Group 5, Census Tract 7.01, Suffolk County, Massachusetts",1246,329,759,265,36,39,0,12,398,237,0,12,0,12,53,72,0,12,53,72
1500000US250250007031,250250007031,"Block Group 1, Census Tract 7.03, Suffolk County, Massachusetts",1008,175,612,179,133,108,0,12,233,64,0,12,11,19,19,18,8,14,11,12
1500000US250250007032,250250007032,"Block Group 2, Census Tract 7.03, Suffolk County, Massachusetts",1239,268,878,238,107,133,0,12,254,140,0,12,0,12,0,12,0,12,0,12
1500000US250250007041,250250007041,"Block Group 1, Census Tract 7.04, Suffolk County, Massachusetts",1639,367,1140,307,17,29,5,10,405,186,0,12,35,46,37,46,0,12,37,46
1500000US250250007042,250250007042,"Block Group 2, Census Tract 7.04, Suffolk County, Massachusetts",701,201,484,184,47,52,0,12,104,83,0,12,29,24,37,44,0,12,37,44
1500000US250250007043,250250007043,"Block Group 3, Census Tract 7.04, Suffolk County, Massachusetts",1132,285,935,294,29,45,0,12,83,73,0,12,14,22,71,46,0,12,71,46
1500000US250250007044,250250007044,"Block Group 4, Census Tract 7.04, Suffolk County, Massachusetts",833,342,310,139,260,235,0,12,117,160,0,12,119,104,27,38,20,33,7,15
1500000US250250008021,250250008021,"Block Group 1, Census Tract 8.02, Suffolk County, Massachusetts",1139,329,1001,302,39,48,0,12,43,54,0,12,0,12,56,63,0,12,56,63
1500000US250250008022,250250008022,"Block Group 2, Census Tract 8.02, Suffolk County, Massachusetts",1824,525,1105,316,188,183,0,12,170,122,0,12,162,184,199,250,137,240,62,51
